Item ID,Group,Standards,Item Information,Prompt,Option A,Option B,Option C,Correct
S08PHS1.3H4,8,S08PHS1.3,"H - This is a car. (Point to car.) What natural resource is a car made of: wood, metal, or water?",What natural resource is a car made of?,wood,metal,water,b
S08PHS1.3H5,8,S08PHS1.3,"H - This is a book. (Point to book.) What are books made from: A, B, or C?",What are books made from?,A,B,C,a
S08PHS1.3L6,8,S08PHS1.3,"L - Here are three pictures. (Point to the answer choices.) Which shows a glass jar: A, B, or C? ",Which shows a glass jar?,A,B,C,c
S08PHS1.3L7,8,S08PHS1.3,"L - Here are three pictures. (Point to the answer choices.) Which shows a wooden table: A, B, or C?",Which shows a wooden table?,A,B,C,a
S08PHS1.3M8,8,S08PHS1.3,"M - Here are three objects. (Point to the answer choices.) Which is made of glass: washing machine, window, or refrigerator?",Which is made of glass?,washing machine,window,refrigerator,b
S08PHS1.3M9,8,S08PHS1.3,"M - Here are three objects. (Point to objects.) Which is made of metal: scissors, rock or soccer ball? ",Which is made of metal?,scissors,rock,soccer ball,a
S08PHS1.3H10,8,S08PHS1.3,"H - Here is a penny. (Point to the penny.) Which shows what pennies are made of: copper, cotton, tree? ",Which shows what pennies are made of?,copper,cotton,tree,a
S08PHS1.3L11,8,S08PHS1.3,"L - Here are three objects. (Point to the objects.) Which is a metal spoon: A, B or C?",Which is a metal spoon?,A,B,C,a
S08PHS1.3M12,8,S08PHS1.3,"M - Here are three objects. (Point to the objects.) Which is made of wood: A, B or C? ",Which is made of wood?,A,B,C,b
S08PHS1.3M13,8,S08PHS1.3,"M - Here are three objects. (Point to the objects.) Which is made of metal: a tree, a brick, or a car? ",Which is made of metal?,tree,brick,car,c
S08PHS1.3H14,8,S08PHS1.3,"H - Here are three objects. (Point to the objects.) Which is made of a naturally occurring metal: penny, tree, or brick?",Which is made of a naturally occurring metal?,penny,tree,ball,a
S08PHS1.3H15,8,S08PHS1.3,"H - Here is a wooden table. (Point to the table.) Which natural resource does the table come from: water, wood, or rock?",Which natural resource does the table come from?,water,wood,rock,b
S08PHS1.3L16,8,S08PHS1.3,"L - Here are three objects. (Point to answer choices.) Which is a banana: A, B, or C?  ",Which is a banana?,A,B,C,c
S08PHS1.3L17,8,S08PHS1.3,"L - Here are three objects. (Point to answer choices.) Which is a vegetable: ball, paper, or carrot?  ",Which is a vegetable?,ball,paper,carrot,c
S08PHS1.3M18,8,S08PHS1.3,"M - Here are three objects. (Point to answer choices.) Which is made of glass: window, strawberry, or tree?",Which is made of glass?,window,strawberry,tree,a
S08PHS1.3M19,8,S08PHS1.3,"M - Here are three objects. (Point to answer choices.) Which is made of wood: penny, scissors, or chair? ",Which is made of wood?,penny,scissors,chair,c
S08PHS1.3H20,8,S08PHS1.3,"H - Here are three objects. (Point to answer choices.) Which comes from a tree: fork, paper, or car?",Which comes from a tree?,fork,paper,car,b
S08PHS2.1HSAMPLE,8,S08PHS2.1,"H - Here is Dan. (Point the boy.) Which shows what will happen when Dan kicks the ball: A, B or C?",Which shows what will happen when Dan kicks the ball?,A,B,C,c
S08PHS2.1L1,8,S08PHS2.1,"L - Here are three pictures. (Point to answer choices.) Which is a moving object: A, B, or C? ",Which is a moving object?,A ,B,C,c
S08PHS2.1L2,8,S08PHS2.1,"L - Here are three pictures. (Point to answer choices.) Which is an object at rest: A, B, or C?",Which is an object at rest?,A,B,C,b
S08PHS2.1M3,8,S08PHS2.1,"M - This boy has a ball. (Point to ball.) What will happen the boy pushes the ball: A, B, or C?",What will happen the boy pushes the ball?,A,B,C,a
S08PHS2.1M4,8,S08PHS2.1,"M - This is a light switch. (Point to light switch.) What will happen if the light switch is flipped off: A, B, or C?",What will happen if the light switch is flipped off?,A,B,C,c
S08PHS2.1H5,8,S08PHS2.1,"H - This plane is flying.  (Point to plane.) Where will the plane be if it keeps flying: A, B, or C?",Where will the plane be if it keeps flying?,A,B,C,b
S08PHS2.1L6,8,S08PHS2.1,"L - Here are three pictures. (Point to answer choices.) Which shows a ball in motion: A, B, or C?",Which shows a ball in motion?,A,B,C,c
S08PHS2.1M7,8,S08PHS2.1,"M - Here are three pictures. (Point to answer choices.) Which shows the girl moving a baseball bat: A, B, or C?",Which shows a moving baseball bat?,A,B,C,b
S08PHS2.1M8,8,S08PHS2.1,"M - Here is Amy. (Point to girl.) Which will happen when Amy pushes the shopping cart: A, B, or C?",Which will happen when Amy pushes the shopping cart?,A,B,C,b
S08PHS2.1H9,8,S08PHS2.1,"H - Here is Sara. (Point to the girl.) Which will happen when Sara hits the baseball: A, B, or C? ",Which will happen when Sara hits the baseball?,A,B,C,b
S08PHS2.1H10,8,S08PHS2.1,"H - Here is Bill. (Point to boy.) Which will happen when Bill kicks the ball at the wall: A, B, or C? ",Which will happen when Bill kicks the ball at the wall?,A,B,C,c
S08PHS2.1L11,8,S08PHS2.1,"L - This is a ball. (Point  to ball.) Which shows the ball moving down a ramp: A, B, or C?",Which shows the ball moving down a ramp?,A,B,C,c
S08PHS2.1L12,8,S08PHS2.1,"L - This is a fish. (Point to fish in prompt.) Which shows the fish moving through water: A, B, or C? ",Which shows the fish moving through water?,A,B,C,a
S08PHS2.1M13,8,S08PHS2.1,"M - This is Sarib. (Point to the boy.) How will the arrow move when Sarib lets go of the string: A, B, or C? ",How will the arrow move when Sarib lets go of the string?,A,B,C,b
S08PHS2.1M14,8,S08PHS2.1,"M - Tameka has a wagon. (Point to the girl with a wagon.) What will happen when Tameka pulls the wagon: A, B, or C? ",What will happen when Tameka pulls the wagon?,A,B,C,a
S08PHS2.1H15,8,S08PHS2.1,"H - Here is Maddy. (Point to girl.) Which will happen when Maddy throws the ball at the wall: A, B, or C? ",Which will happen when Maddy throws the ball at the wall?,A,B,C,c
S08PHS2.1L16,8,S08PHS2.1,"L - Here are three objects. (Point to answer choices.) Which is moving through the air: house, chair, or bird?",Which is moving through the air?,house,chair,bird,c
S08PHS2.1M17,8,S08PHS2.1,"M - Here is a marble.  (Point to marble.) What will happen if you push the marble: disappear, roll away, or stay at rest?",What will happen if you push the marble?,disappear,roll away,stay at rest,b
S08PHS2.1M18,8,S08PHS2.1,"M - Here are three objects. (Point to answer choices.) Which can roll: bicycle, brick or computer?  ",Which can roll?,bicycle,brick ,computer,a
S08PHS2.1H19,8,S08PHS2.1,"H - Ann is going to throw a ball.  (Point to prompt.) What will happen to the ball after Ann throws it: disappear, move away, or stay at rest?",What will happen to the ball after Ann throws it?,disappear,move away,stay at rest,b
S08PHS2.1H20,8,S08PHS2.1,"H - Pedro is hitting a ball. (Point to prompt.) What will happen to the ball after Pedro hits it, will it: move, float, or disappear?",What will happen to the ball after Pedro hits it?,float,disappear,move,c
S08PHS2.2LSAMPLE,8,S08PHS2.2,"L - Here are three animals. (Point each animal.) Which animal is the biggest: elephant, bird or rabbit?",Which animal is the biggest?,elephant,bird,rabbit,a
S08PHS2.2L1,8,S08PHS2.2,"L - Here are three blocks. (Point to each block.) Mass is the amount of material in an object. Which block has the most mass: A, B, or C? ",Mass is the amount of material in an object. Which block has the most mass?,A,B,C,a
S08PHS2.2M2,8,S08PHS2.2,"M - Here are three vehicles. (Point to answer choices.) Which would be the hardest to push: bicycle, scooter, or bus? ",Which would be the hardest to push?,bicycle,scooter,bus,c
S08PHS2.2M3,8,S08PHS2.2,"M -  Here are three animals. (Point to each animal.) Mass is the amount of material in an object. Which animal has the most mass: kitten, elephant, or dog?",Mass is the amount of material in an object. Which animal has the most mass?,kitten,elephant,dog,b
S08PHS2.2H4,8,S08PHS2.2,"H - This is an elephant. (Point to elephant.) Which block has the same mass as the elephant: A, B, or C?",Which block has the same mass as the elephant?,A,B,C,c
S08PHS2.2H5,8,S08PHS2.2,"H - This rock is on top of a hill. (Point to rock.) What will happen if a force pushes the rock: A, B, or C?",What will happen if a force pushes the rock?,A,B,C,b
S08PHS2.2L6,8,S08PHS2.2,"L - Here are three objects. (Point to answer choices.) Mass is the amount of material in an object. Which has the most mass: pencil, ruler, or chair?",Mass is the amount of material in an object. Which has the most mass?,pencil,ruler,chair,c
S08PHS2.2L7,8,S08PHS2.2,"L - Here are three animals. (Point to answer choices.) Mass is the amount of material in an object. Which has the most mass: mouse, deer, or squirrel?",Mass is the amount of material in an object. Which has the most mass?,mouse,deer,squirrel,b
S08PHS2.2M8,8,S08PHS2.2,"M - Here are three balls rolling down a hill. (Point to prompt.) Which ball has the most force: bowling ball, tennis ball, basketball? ",Which ball has the most force?,bowling ball,tennis ball,basketball,a
S08PHS2.2M9,8,S08PHS2.2,"M - Here are three objects falling. (Point to prompt.) Which has the most force when it hits the ground: feather, brick, or crayon?",Which has the most force when it hits the ground?,feather,brick,crayon,b
S08PHS2.2H10,8,S08PHS2.2,"H - Here are three pictures. (Point to prompt.) Which shows people applying the most force on the car: A, B, or C?  ",Which shows people applying the most force on the car?,A,B,C,b
S08PHS2.2L11,8,S08PHS2.2,"L - Here are three objects. (Point to each answer.) Which is the biggest: skateboard, pencil or ship? ",Which is the biggest?,skateboard,pencil,ship,c
S08PHS2.2M12,8,S08PHS2.2,"M - Here are three objects. (Point to answer choices.) Objects with more mass take more force to move. Which would be the most difficult to move: skateboard, scooter, or a dump truck? ",Objects with more mass take more force to move. Which would be the most difficult to move?,skateboard,scooter,dump truck,c
S08PHS2.2M13,8,S08PHS2.2,"M - Here are three objects. (Point to the choices.) Objects with less mass take less force to move. Which would be the easiest to move: a jet plane, row boat or a soccer ball?",Objects with less mass take less force to move. Which would be the easiest to move?,jet plane,row boat,soccer ball,c
S08PHS2.2H14,8,S08PHS2.2,"H - Here are the paths a ball can take when thrown with different amounts of force. (Point to the picture.) Which shows the ball thrown with the most force: A, B, or C?",Which shows the ball thrown with the greatest force?,A,B,C,a
S08PHS2.2H15,8,S08PHS2.2,"H - Here are the paths a ball can take when kicked with different amounts of force. (Point to the picture.) Which shows the ball kicked with the least force: A, B, or C?",Which shows the ball kicked with the least force?,A,B,C,c
S08PHS2.2L16,8,S08PHS2.2,"L - Here are three rocks. (Point to answer choices.) Which rock is largest:  A, B, or C?",Which rock is largest?,A,B,C,b
S08PHS2.2L17,8,S08PHS2.2,"L - Here are three fruits.  (Point to answer choices.) Which fruit is the biggest: cherry, banana, or watermelon?  ",Which fruit is the biggest?,cherry,banana,watermelon,c
S08PHS2.2M18,8,S08PHS2.2,"M - Here are three objects. (Point to answer choices.) Which would be the most difficult to push: pencil, table, or cup?",Which would be the most difficult to push?,pencil,table,mug,b
S08PHS2.2M19,8,S08PHS2.2,"M - Here are three objects. (Point to answer choices.) Mass is the amount of material in an object. Which has the greatest mass: book, table, or elephant?",Mass is the amount of material in an object. Which has the greatest mass?,book,table,elephant,c
S08PHS2.2H20,8,S08PHS2.2,"H - Here is a massive camping trailer. (Point to the trailer.) Which vehicle has enough force to pull the trailer: skateboard bicycle, or truck? ",Which vehicle has enough force to pull the trailer?,skateboard,bicycle,truck,c
S08PHS3.4MSAMPLE,8,S08PHS3.4,"M - Here is a graph with temperature and forms of water. (Point to graph.) Which form of water has the coldest temperature: liquid, ice or steam?",Which form of water has the coldest temperature?,liquid,ice,steam,b
S08PHS3.4L1,8,S08PHS3.4,"L - Here are three objects. (Point to answer choices.) Which is colder: ice, water, or soup?",Which is colder?,ice,water,soup,a
S08PHS3.4L2,8,S08PHS3.4,"L - Here are three pictures. (Point to answer choices.) Which is hottest: ocean, ice, or fire?",Which is hottest?,ocean,ice,fire,c
S08PHS3.4M3,8,S08PHS3.4,"M - Here is a graph. (Point to bar graph.) Which form of water has the hottest temperature: liquid, ice or steam?",Which form of water has the hottest temperature?,liquid,ice,steam,c
S08PHS3.4M4,8,S08PHS3.4,"M - Here is a graph. (Point to prompt.) Which drink has the coldest temperature: glass of milk, cup of coffee, or milkshake?  ",Which drink has the coldest temperature?,glass of milk,cup of coffee,milkshake,c
S08PHS3.4H5,8,S08PHS3.4,"H - This girl is cold. (Point to girl in prompt.) What can she use to warm herself: coat, chair or book?",What can she use to warm herself?,coat,chair,book,a
S08PHS3.4L6,8,S08PHS3.4,"L - Here are three pictures. (Point to answer choices.) Which is hot: campfire, plant, or glass jar?",Which is hot?,campfire,plant,ice cream,a
S08PHS3.4M7,8,S08PHS3.4,"M - Here are three pictures. (Point to answer choices.) Which day had the coldest temperature: A, B, or C?",Which day had the coldest temperature? ,A,B,C,c
S08PHS3.4M8,8,S08PHS3.4,"M - Here is a graph showing the temperature of three objects. (Point to bar graph.) Which object has the coldest temperature: milk, peanut butter or soup? ",Which object has the coldest temperature?,milk,peanut butter,soup,a
S08PHS3.4H9,8,S08PHS3.4,"H - Here are three pictures. (Point to prompt.) What could the boy wear on a cold day to stay warm: t-shirt, sunglasses, or coat?",What could the boy wear on a cold day to stay warm?,t-shirt,sunglasses,coat,c
S08PHS3.4H10,8,S08PHS3.4,"H - This is a pot of water. (Point to prompt.) Which would transfer heat to the water: stove, refrigerator, or washing machine? ",Which would transfer heat to the water?,stove,refrigerator,washing machine,a
S08PHS3.4L11,8,S08PHS3.4,"L - Here are three objects. (Point to the choices.) Which is cold: ice cream, fire, or a tree? ",Which is cold?,ice cream,fire,tree,a
S08PHS3.4L12,8,S08PHS3.4,"L - Here are three objects. (Point to the choices.) Which is hot: ice cream, fire, or a tree?",Which is hot?,ice cream,fire,tree,b
S08PHS3.4M13,8,S08PHS3.4,"M - Here is a graph of temperature and forms of water. (Point to bar graph.) Which form of water has the highest temperature: liquid, ice or steam?",Which form of water has the highest temperature?,liquid,ice,steam,c
S08PHS3.4M14,8,S08PHS3.4,"M - Dan has an ice cream cone. (Point to the picture.) On which day will his ice cream melt the fastest: A, B or C?",On which day will his ice cream melt the fastest?,A,B ,C,a
S08PHS3.4H15,8,S08PHS3.4,"H - Julie is sleeping. (Point to the prompt) How will the blanket help Julie, will it keep her: cold, warm, or cool?  ",How will the blanket help Julie? ,cold,warm,cool,b
S08PHS3.4L16,8,S08PHS3.4,"L - Here are three pictures. (Point to answer choices.) Which shows that it is cold outside: A, B, or C?  ",Which shows that it is cold outside?,A,B,C,c
S08PHS3.4M17,8,S08PHS3.4,"M - Here is a graph showing temperature.  (Point to graph.) Which day was hottest: Monday, Tuesday, or Wednesday?",Which day was hottest?,Monday,Tuesday,Wednesday,b
S08PHS3.4M18,8,S08PHS3.4,"M - Here is a graph showing temperature.  (Point to graph.) Which day was coldest: Monday, Tuesday, or Wednesday?",Which day was coldest?,Monday,Tuesday,Wednesday,a
S08PHS3.4H19,8,S08PHS3.4,"H - Here are three pictures of outside. (Point to prompt.) Which shows the girl staying warm: A, B, or C?  ",Which shows the girl staying warm?,A,B,C,c
S08PHS3.4H20,8,S08PHS3.4,"H - This soup is too hot. (Point to prompt.) What would cool the temperature of soup: spoon, ice, or hot water?  ",What would cool the temperature of soup?,spoon,ice,hot water,b
S08PHS4.2HSAMPLE,8,S08PHS4.2,"H - Here are three different waves. (Point answer options.)  Which shows a wave being reflected: A, B, or C?",Which shows a wave being reflected?,A,B,C,c
S08PHS4.2L1,8,S08PHS4.2,"L - Here are three objects. (Point to answer choices.) Which is a wave: A, B, or C? ",Which is a wave?,A,B,C,b
S08PHS4.2M2,8,S08PHS4.2,"M - This is a wave. (Point to wave.) Which is shorter than the wave: house, mountain, or tree? ",Which is shorter than the wave?,house,mountain,tree,c
S08PHS4.2M3,8,S08PHS4.2,"M - Wavelength measures how long a wave is. (Point to diagram in prompt.) Which wave has the longest wavelength: A, B, or C? ",Wavelength measures how long a wave is. Which wave has the longest wavelength?,A,B,C,a
S08PHS4.2H4,8,S08PHS4.2,"H - Here are three pictures. (Point to answer choices.) Which shows two waves that are the same size: A, B, or C? ",Which shows two waves that are the same size?,A,B,C,c
S08PHS4.2H5,8,S08PHS4.2,"H - Here are three waves. (Point to answer choices.) Which wave is the tallest: A, B, or C? ",Which wave is the tallest?,A,B,C,a
S08PHS4.2L6,8,S08PHS4.2,"L - Here are three pictures. (Point to answer choices.) Which shows sound waves: A, B, or C?",Which shows sound waves?,A,B,C,b
S08PHS4.2L7,8,S08PHS4.2,"L - Here are three pictures. (Point to answer choices.) Which shows light waves: A, B, or C? ",Which shows light waves?,A,B,C,c
S08PHS4.2M8,8,S08PHS4.2,"M - Here is a drum. (Point to answer choices.) Which type of wave is made when the drum is hit: light, ocean, or sound?",Which type of wave is made when the drum is hit?,light,ocean,sound,c
S08PHS4.2M9,8,S08PHS4.2,"M - Here is a lamp. (Point to answer choices.) Which type of wave is made when the lamp is turned on: A, B, or C?",Which type of wave is made when the lamp is turned on?,ocean,light,sound,b
S08PHS4.2H10,8,S08PHS4.2,"H - Here are three pictures. (Point to answer choices.) Which shows a wave being transmitted through something: A, B, or C?",Which shows a wave being transmitted through something?,A,B,C,b
S08PHS4.2L11,8,S08PHS4.2,"L - Here are three items. (Point to the answer options.) Which is a wave: A, B, or C?",Which is a wave?,A,B,C,c
S08PHS4.2M12,8,S08PHS4.2,"M - This diagram shows the amplitude, or height, of a wave. (Point to diagram in prompt.) Which wave has the smallest amplitude: A, B, or C? ","This diagram shows the amplitude, or height, of a wave. Which wave has the smallest amplitude?",A,B,C,b
S08PHS4.2M13,8,S08PHS4.2,"M - This diagram shows the wavelength, or length, of a wave. (Point to diagram in prompt.) Which wave has the longest wavelength: A, B, or C? ","This diagram shows the wavelength, or length, of a wave. Which wave has the longest wavelength?",A,B,C,a
S08PHS4.2H14,8,S08PHS4.2,"H - This is a wave. (Point to wave in prompt.) Which shows a wave being absorbed by something: A, B, or C?",Which shows a wave being absorbed by something?,A,B,C,a
S08PHS4.2H15,8,S08PHS4.2,"H - This is a wave.  (Point to wave in prompt.) Which shows a wave being reflected by something: A, B, or C?",Which shows a wave being reflected by something?,A,B,C,c
S08PHS4.2L16,8,S08PHS4.2,"L - Here are three pictures. (Point to answer choices.) Which shows a wave: A, B, or C?",Which shows a type of wave?,A,B,C,a
S08PHS4.2L17,8,S08PHS4.2,"L - This is a wave. (Point to prompt.) Which also shows waves: A, B, or C?",Which is also a wave?,A,B,C,c
S08PHS4.2M18,8,S08PHS4.2,"M - Here are three different waves. (Point to answer choices.) Which wave is biggest: A, B or C? ",Which wave is biggest?,A,B,C,b
S08PHS4.2M19,8,S08PHS4.2,"M - Here is the Sun. (Point to prompt.) Which type of waves does the Sun make: light, sound, or hand?",Which type of waves does the Sun make?,light,sound,hand,a
S08PHS4.2H20,8,S08PHS4.2,"H - Here are three different waves. (Point to prompt.) A wave with higher frequency has more waves per second. Which wave has the highest frequency: A, B, or C?",A wave with higher frequency has more waves per second. Which wave has the highest frequency?,A,B,C,c
S08LFS1.3LSAMPLE,8,S08LFS1.3,"L - Here is Emma. (Point to picture of girl.)  Which is Emma's head: A, B or C?",Which is Emma's head?,A,B,C,a
S08LFS1.3L1,8,S08LFS1.3,"L - This is a boy. (Point to picture of boy.)  Which is his foot: A, B, or C? ",Which is his foot?,A,B,C,b
S08LFS1.3L2,8,S08LFS1.3,"L - Here is Julio. (Point to Julio.) Which is his ear: A, B, or C? ",Which is his ear?,A,B,C,c
S08LFS1.3M3,8,S08LFS1.3,"M - Here is a boy's insides. (Point to the diagram of the boy's insides.) Which body part is circled: lungs, foot, or stomach?",Which body part is circled?,lungs,foot,stomach,c
S08LFS1.3M4,8,S08LFS1.3,"M - Here is a girl's lungs for breathing. (Point to the diagram of the girl.) Which are the girl's lungs: A, B or C?",Which are the girl's lungs?,A,B,C,4
S08LFS1.3H5,8,S08LFS1.3,"H - This is a girl's skeleton. (Point to picture of skeletal system.)  How does the skeleton help the body: smell, support, or digestion? ",How does the skeleton help the body?,smell,support,digestion,b
S08LFS1.3L6,8,S08LFS1.3,"L - Here is Laura. (Point to picture of girl.) Which is Laura's hand: A, B, or C? ",Which is Laura's hand?,A,B,C,c
S08LFS1.3M7,8,S08LFS1.3,"M - Here are three bodies. (Point to prompt.) Which shows the inside of a body: A, B, or C?",Which shows the inside of a body?,A,B,C,a
S08LFS1.3M8,8,S08LFS1.3,"M - Here are three body parts. (Point to prompt.) Which is a brain: A, B, or C? ",Which is a brain?,A,B,C,b
S08LFS1.3H9,8,S08LFS1.3,"H - Here is the inside of a body. (Point to prompt.) Which body produces thinking: brain, skeleton, or liver? ",Which body produces thinking?,lung,stomach,brain,c
S08LFS1.3H10,8,S08LFS1.3,"H - Here is the inside of a body. (Point to prompt.) Which body part is used for breathing: skeleton, liver, or lungs? ",Which body part is used for breathing?,stomach,lung,heart,b
S08LFS1.3L11,8,S08LFS1.3,"L - This is Tiko. (Point to picture of boy.) Which is Tiko's foot: A, B or C? ",Which is Tiko's foot?,A,B,C,c
S08LFS1.3L12,8,S08LFS1.3,"L - This is Steff. (Point to picture of girl.) Which is Steff's hand: A, B or C? ",Which is Steff's hand?,A,B,C,b
S08LFS1.3M13,8,S08LFS1.3,"M - This is Junior. (Point to the picture of the boy.) Which is Junior's heart: A, B, or C? ",Which is Junior's heart?,A,B,C,a
S08LFS1.3M14,8,S08LFS1.3,"M - This is Bella. (Point to the picture of the girl.) Which is Bella's stomach: A, B, or C?",Which is Bella's stomach?,A,B,C,c
S08LFS1.3H15,8,S08LFS1.3,"H - This is María. (Point to the picture of the girl.) Which body part digests the food María eats: heart, stomach, or brain?",Which body part digests the food María eats?,heart,stomach,brain,b
S08LFS1.3L16,8,S08LFS1.3,"L - Here is James. (Point to prompt.) Which is his head: A, B or C?  ",Which is his hand?,A,B,C,b
S08LFS1.3M17,8,S08LFS1.3,"M - Here is a body. (Point to body.) Which is the heart: A, B or C?",Which is the heart?,A,B,C,a
S08LFS1.3M18,8,S08LFS1.3,"M - Here is a body. (Point to body.) Which is the brain: A, B or C?",Which is the brain?,A,B,C,b
S08LFS1.3H19,8,S08LFS1.3,"H - Here are three different body parts. (Point to answers.) Which carries blood through your body: eyes, bones or veins?  ",Which carries blood through your body?,eyes,bones,veins,c
S08LFS1.3H20,8,S08LFS1.3,"H - Here are three different body parts. (Point to answers.) Which body part helps us see: eyes, bones or veins?  ",Which body part helps us see,eyes,bones,veins,a
S08LFS1.4MSAMPLE,8,S08LFS1.4,"M - Here is a wolf. (Point to wolf.)  Which body part is the teeth: A, B, or C?",Which body part is the teeth?,A,B,C,b
S08LFS1.4L1,8,S08LFS1.4,"L - Here are three objects. (Point to answer choices.) Which is a plant: rock, tree, or worm?  ",Which is a plant?,rock,tree,worm,b
S08LFS1.4M2,8,S08LFS1.4,"M - Here is a plant. (Point to plant.) Which  is a leaf: A, B, or C?  ",Which is a leaf?,A,B,C,c
S08LFS1.4M3,8,S08LFS1.4,"M - Here are three pictures. (Point to answer choices.) Which shows the fin of a fish: A, B, or C?  ",Which shows the fin of a fish?,A,B,C,b
S08LFS1.4H4,8,S08LFS1.4,"H - This is an elephant.  (Point to elephant.) What body part helps an elephant reach and hold food to eat: ears, legs, or trunk? ",What body part helps an elephant reach and hold food to eat?,ears,legs,trunk,c
S08LFS1.4H5,8,S08LFS1.4,"H - This is an owl. (Point to owl.) What does an owl use to grab food: talons, feathers, or wings?",What does an owl use to grab food?,talons,feathers,wings,a
S08LFS1.4L6,8,S08LFS1.4,"L - Here are three pictures. (Point to answer choices.) Which is an animal: robot, tree, or dog?",Which is an animal?,robot,tree,dog,c
S08LFS1.4L7,8,S08LFS1.4,"L - Here are three pictures. (Point to answer choices.) Which is a plant: flower, crayon, or robot?",Which is a plant?,flower,crayon,robot,a
